PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
MSW combustion of Vinyl Flooring,"Vinyl Flooring, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Corrugated Containers,"Corrugated Containers, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Medium-density Fiberboard,"Medium-density Fiberboard, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed MSW,"Mixed MSW, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Personal Computers,"Personal Computers, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Carpet,"Carpet, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Aluminum Cans,"Aluminum Cans, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Paper (primarily from offices),"Mixed Paper (primarily from offices), combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Fruits and Vegetables,"Fruits and Vegetables, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Paper (primarily residential),"Mixed Paper (primarily residential), combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of PP,"PP, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of LDPE,"LDPE, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Branches,"Branches, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Magazines Third-class Mail,"Magazines Third-class Mail, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of LLDPE,"LLDPE, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Mixed Plastics,"Mixed Plastics, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW combustion of Yard Trimmings,"Yard Trimmings, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW composting of Grains,"Grains, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Yard Trimmings,"Yard Trimmings, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Dairy Products,"Dairy Products, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of PLA,"PLA, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Mixed Organics,"Mixed Organics, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Grass,"Grass, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Fruits and Vegetables,"Fruits and Vegetables, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Branches,"Branches, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Bread,"Bread, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Leaves,"Leaves, composted",NULL,Composting,NULL,NULL,NULL,NULL
MSW composting of Food Waste (non-meat),"Food Waste (non-meat), composted",NULL,Composting,NULL,NULL,NULL,NULL
"MSW landfilling of Newspaper; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Newspaper, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, California regulatory collection, dry conditions (k=0.02)","Office Paper, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Phonebooks, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; National average LFG recovery, typical collection, National average conditions","Grains, landfilled",NULL,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Medium-density Fiberboard, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Fruits and Vegetables, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Bread, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; National average LFG recovery, typical collection, wet conditions (k=0.06)","Leaves, landfilled",NULL,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Newspaper; National average LFG recovery, typical collection, wet conditions (k=0.06)","Newspaper, landfilled",NULL,Wet conditions (k=0.06),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Yard Trimmings, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
MSW landfilling of HDPE,"HDPE, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Fruits and Vegetables; National average LFG recovery, typical collection, dry conditions (k=0.02)","Fruits and Vegetables, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Corrugated Containers; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Corrugated Containers, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Grass, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; National average LFG recovery, typical collection, bioreactor (k=0.12)","Dimensional Lumber, landfilled",NULL,Bioreactor (k=0.12),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Bread; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Bread, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Branches, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Yard Trimmings, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Medium-density Fiberboard, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Tires,"Tires, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, worst-case collection, National average conditions","Fruits and Vegetables, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and electricity generation, typical collection, moderate conditions (k=0.04)","Dairy Products, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Leaves, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Grains, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Grains, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Dairy Products, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Leaves, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Bread, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Office Paper, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; National average LFG recovery, typical collection, dry conditions (k=0.02)","Yard Trimmings, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Grass; LFG recovery and electricity generation, worst-case collection, wet conditions (k=0.06)","Grass, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Dairy Products, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Fruits and Vegetables, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Branches; National average LFG recovery, typical collection, moderate conditions (k=0.04)","Branches, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Newspaper; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Newspaper, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Wood Flooring, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Leaves, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Leaves, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, aggressive collection, National average conditions","Medium-density Fiberboard, landfilled",NULL,National Average,Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Medium-density Fiberboard, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, aggressive collection, National average conditions","Office Paper, landfilled",NULL,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Corrugated Containers, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Office Paper, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Food Waste (non-meat), landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Leaves, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Leaves, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Yard Trimmings, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and flaring, California regulatory collection, National average conditions","Bread, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and electricity generation, typical collection, National average conditions","Office Paper, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Food Waste (non-meat), landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Phonebooks, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Textbooks, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Phonebooks, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Grass, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and flaring, aggressive collection, National average conditions","Bread, landfilled",NULL,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Newspaper, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Grass, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, worst-case collection, bioreactor (k=0.12)","Grass, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Newspaper, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
MSW landfilling of Bread; no LFG recovery,"Bread, landfilled",NULL,No LFG recovery,Landfilling,NULL,NULL,NULL
"MSW landfilling of Grass; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Grass, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Mixed MSW, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and flaring, worst-case collection, National average conditions","Textbooks, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Wood Flooring, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Bread; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Bread, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Grass, landfilled",NULL,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Yard Trimmings, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Grass, landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Food Waste (non-meat), landfilled",NULL,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, typical collection, wet conditions (k=0.06)","Grains, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Medium-density Fiberboard, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Yard Trimmings, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dairy Products; LFG recovery and flaring, California regulatory collection, dry conditions (k=0.02)","Dairy Products, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Branches, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Yard Trimmings, landfilled",NULL,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Grains, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and flaring, California regulatory collection, dry conditions (k=0.02)","Grass, landfilled",NULL,Dry conditions (k=0.02),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Food Waste (non-meat); LFG recovery and flaring, typical collection, National average conditions","Food Waste (non-meat), landfilled",NULL,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed MSW; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Mixed MSW, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Textbooks, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Office Paper, landfilled",NULL,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Corrugated Containers; LFG recovery and electricity generation, typical collection, National average conditions","Corrugated Containers, landfilled",NULL,National Average,Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Textbooks; LFG recovery and electricity generation, worst-case collection, wet conditions (k=0.06)","Textbooks, landfilled",NULL,Wet conditions (k=0.06),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Medium-density Fiberboard, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Wood Flooring; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Wood Flooring, landfilled",NULL,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Office Paper; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Office Paper, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, California regulatory collection, National average conditions","Fruits and Vegetables, landfilled",NULL,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Fruits and Vegetables, landfilled",NULL,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Branches; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Branches, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Medium-density Fiberboard, landfilled",NULL,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Fruits and Vegetables; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Fruits and Vegetables, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Dimensional Lumber; National average LFG recovery, typical collection, dry conditions (k=0.02)","Dimensional Lumber, landfilled",NULL,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
MSW landfilling of Glass,"Glass, landfilled",NULL,Landfilling,NULL,NULL,NULL,NULL
"MSW landfilling of Dairy Products; LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Dairy Products, landfilled",NULL,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Newspaper, landfilled",NULL,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Phonebooks; LFG recovery and flaring, worst-case collection, National average conditions","Phonebooks, landfilled",NULL,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grains; LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Grains, landfilled",NULL,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Medium-density Fiberboard; LFG recovery and flaring, typical collection, National average conditions","Medium-density Fiberboard, landfilled",NULL,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Leaves; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Leaves, landfilled",NULL,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; National average LFG recovery, typical collection, bioreactor (k=0.12)","Grass, landfilled",NULL,Bioreactor (k=0.12),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Medium-density Fiberboard; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Medium-density Fiberboard, landfilled",NULL,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Newspaper; LFG recovery and flaring, typical collection, National average conditions","Newspaper, landfilled",NULL,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Grass; LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Grass, landfilled",NULL,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Yard Trimmings; LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Yard Trimmings, landfilled",NULL,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
